Time,Height,Wicking Rate,Avg Wicking Rate
9.334819,27.125,2.8174625036181906,2.9057874609030985
9.501372,27.125,2.676589378437281,2.8548508573288154
9.66823,28.0625,2.810418847359145,2.902547829333808
9.834991,29.0,2.9509397897271024,2.948655469028899
10.001345,29.0,3.0984867792134576,2.89961000245467
10.168252,29.0,2.9435624402527845,2.8520142891816604
10.334487,29.0,2.796384318240145,2.8061383211377597
10.501228,29.0,2.6565651023281376,2.761581788339421
10.66788,29.9375,2.7893933574445446,2.806321405940074
10.83443,29.9375,2.928863025316772,2.7631818194404323
11.001043,29.9375,2.7824198740509334,2.721332877255366
11.167258,29.9375,2.643298880348387,2.680828185396988
11.334309,29.9375,2.5111339363309675,2.641316731350804
11.501076,30.875,2.636690633147516,2.684531429928817
11.667546,30.875,2.768525164804892,2.6462291213593674
11.833677,30.875,2.630098906564647,2.6090791560391584
12.000735,30.875,2.4985939612364145,2.5727590851726996
12.167195,30.875,2.373664263174594,2.5375610401575712
12.333974,30.875,2.2549810500158642,2.5032483447751717
12.500762,31.8125,2.3677301025166577,2.544844866256953
12.667085,31.8125,2.4861166076424905,2.511430214607386
12.833726,31.8125,2.361810777260366,2.47882025843469
13.000416,31.8125,2.243720238397348,2.447037079428843
13.166826,31.8125,2.13153422647748,2.4161100025169313
13.333545,31.8125,2.024957515153606,2.3858996238434713
13.500444,32.75,2.1262053909112866,2.4258461425416824
13.666777,32.75,2.232515660456851,2.3963221174970513
13.833677,32.75,2.120889877434008,2.36741106504077
14.000062,32.75,2.0148453835623075,2.3392753546377154
14.166535,32.75,1.914103114384192,2.3117861918951954
14.33327,33.6875,2.009808270103402,2.3503010827257143
14.499922,33.6875,2.110298683608572,2.3232883597580734
14.66639,33.6875,2.0047837494281433,2.296918328232101
14.833203,33.6875,1.904544561956736,2.2710873706777965
14.999621,34.625,1.9997717900545728,2.3083916586959097
15.166614,34.625,2.0997603795573014,2.282974960660303
15.63116,34.625,2.2047483985351666,2.215126708446462
15.798247,34.625,2.094510978608408,2.1916988638043198
15.964219,34.625,1.9897854296779878,2.1689128669557842
16.130482,34.625,1.8902961581940882,2.1465570588653207
16.297343,34.625,1.7957813502843838,2.1245794483186615
16.464204,35.5625,1.885570417798603,2.1599890283186483
16.630561,35.5625,1.9798489386885332,2.1383824634659048
16.797024,35.5625,1.8808564917541064,2.1171905213685474
16.963952,36.5,1.9748993163418118,2.151621273156161
17.130504,36.5,2.0736442821589023,2.1307020505643033
17.296944,37.4375,2.1773264962668475,2.164399676613395
17.463991,37.4375,2.28619282108019,2.143696707127254
17.636469,37.4375,2.1718831800261804,2.1227321636774343
17.803315,37.4375,2.0632890210248713,2.102838712902625
17.965848,37.4375,1.9601245699736276,2.0838148023961907
18.130825,37.4375,1.862118341474946,2.0648536401404787
18.298108,37.4375,1.7690124244011987,2.045976556701928
18.465156,37.4375,1.6805618031811387,2.0274673011156796
18.631193,37.4375,1.5965337130220816,2.0093989687080156
18.798091,37.4375,1.5167070273709775,1.9915586109249073
18.96485,37.4375,1.4408716760024285,1.9740467232801737
19.131614,37.4375,1.368828092202307,1.9568396059004747
19.298476,37.4375,1.3003866875921917,1.939920022700238
19.465491,38.375,1.3654060219718014,1.9714375558263595
19.629271,38.375,1.4336763230703915,1.9549885474605757
19.796255,38.375,1.505360139223911,1.9384979633774166
19.962977,38.375,1.4300921322627154,1.9223084813452425
20.129249,38.375,1.3585875256495796,1.9064297927856124
20.298101,38.375,1.2906581493671005,1.8905709455283528
